               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.073359,            0.043845,           0.0091623,             0.12304,             0.19583,            0.086878,            0.038726,            0.074333,            0.025496,            0.025971,           0.0082675,           0.0082675,           0.0082675
                  37,            0.068166,            0.045264,           0.0084245,             0.14875,               0.125,            0.057726,             0.02101,            0.073594,            0.025792,            0.025792,            0.008218,            0.008218,            0.008218
                  38,            0.069273,            0.043243,           0.0084191,             0.11738,             0.25598,            0.080886,            0.029475,            0.073133,            0.026692,            0.025668,           0.0081685,           0.0081685,           0.0081685
                  39,            0.069019,            0.043327,           0.0081082,             0.26246,             0.15625,            0.094042,            0.024276,            0.076648,             0.02394,            0.022506,            0.008119,            0.008119,            0.008119
                  40,              0.0692,            0.042775,            0.006595,             0.20482,             0.15417,            0.096996,             0.02448,            0.075358,            0.024211,            0.023154,           0.0080695,           0.0080695,           0.0080695
                  41,            0.066251,            0.045231,           0.0078228,             0.19309,             0.10199,             0.07725,            0.031304,            0.075504,            0.024959,              0.0257,             0.00802,             0.00802,             0.00802
                  42,            0.067749,            0.043175,           0.0069415,             0.18401,             0.18958,            0.091943,            0.035739,            0.073832,            0.024459,            0.032321,           0.0079705,           0.0079705,           0.0079705
                  43,            0.066933,            0.045411,           0.0069849,              0.1364,             0.30815,             0.08738,            0.027717,            0.069832,            0.024371,             0.03299,            0.007921,            0.007921,            0.007921
                  44,            0.066809,             0.04008,           0.0064234,             0.10487,             0.29792,            0.080014,            0.021713,            0.070643,            0.025859,            0.029771,           0.0078715,           0.0078715,           0.0078715
                  45,            0.064134,            0.043806,           0.0060982,             0.28215,             0.19375,             0.12039,            0.036338,            0.069966,            0.025014,            0.017894,            0.007822,            0.007822,            0.007822
                  46,            0.066242,            0.042921,           0.0061938,             0.19798,             0.22004,             0.13257,            0.049385,            0.069916,            0.025934,            0.021563,           0.0077725,           0.0077725,           0.0077725
                  47,            0.066777,            0.041775,           0.0067109,             0.20449,             0.30182,             0.15019,             0.04798,            0.069882,            0.024592,            0.029041,            0.007723,            0.007723,            0.007723
                  48,            0.065281,            0.041427,           0.0063435,             0.23975,             0.22662,             0.10929,            0.031774,            0.072913,            0.024086,            0.022009,           0.0076735,           0.0076735,           0.0076735
                  49,            0.064425,            0.041563,            0.006172,             0.30892,                0.15,            0.099393,            0.037325,            0.072929,            0.025324,            0.030789,            0.007624,            0.007624,            0.007624
                  50,            0.063091,            0.043992,           0.0057349,             0.10285,             0.22708,            0.066695,            0.019226,            0.074095,            0.025406,            0.031929,           0.0075745,           0.0075745,           0.0075745
                  51,            0.064963,            0.041958,           0.0052618,             0.13968,             0.10832,            0.055325,            0.016812,            0.071883,            0.025868,            0.027231,            0.007525,            0.007525,            0.007525
                  52,            0.065829,            0.041409,           0.0064629,             0.12215,             0.19375,            0.064526,            0.021628,            0.070842,            0.026475,             0.02548,           0.0074755,           0.0074755,           0.0074755
                  53,            0.064754,            0.041863,           0.0059111,             0.19626,             0.12917,            0.096698,            0.036734,            0.070896,            0.025218,              0.0235,            0.007426,            0.007426,            0.007426
                  54,             0.06431,            0.040048,           0.0054245,             0.24088,             0.16844,             0.10719,            0.047659,            0.072404,              0.0252,            0.019185,           0.0073765,           0.0073765,           0.0073765
                  55,            0.061837,            0.038201,           0.0056884,             0.19267,             0.22296,             0.10664,            0.039871,            0.071509,            0.024551,            0.024011,            0.007327,            0.007327,            0.007327
                  56,            0.062635,            0.041567,           0.0056669,              0.1762,             0.26215,            0.084887,            0.021482,            0.073462,            0.025231,            0.026412,           0.0072775,           0.0072775,           0.0072775
                  57,            0.061942,            0.041554,           0.0058493,             0.26071,              0.2445,              0.1216,            0.029354,            0.073709,            0.024202,            0.034296,            0.007228,            0.007228,            0.007228
                  58,            0.059924,            0.037983,           0.0054289,             0.12633,             0.20417,            0.088191,            0.039501,            0.072766,            0.025034,            0.048105,           0.0071785,           0.0071785,           0.0071785
                  59,            0.060059,            0.040792,           0.0050147,             0.20751,             0.26634,             0.12036,            0.046713,            0.074177,            0.025244,            0.037352,            0.007129,            0.007129,            0.007129
                  60,              0.0613,            0.039645,           0.0051472,             0.16582,             0.24375,             0.11229,            0.053117,            0.073135,            0.026016,            0.035928,           0.0070795,           0.0070795,           0.0070795
                  61,            0.058847,            0.040297,           0.0043252,             0.11001,             0.32083,             0.08325,            0.027012,            0.072274,            0.026417,            0.028789,             0.00703,             0.00703,             0.00703
                  62,            0.060335,            0.036376,           0.0046915,              0.1932,             0.25625,             0.13123,            0.036005,            0.073647,            0.025961,            0.025905,           0.0069805,           0.0069805,           0.0069805
                  63,            0.058983,            0.041292,           0.0039564,             0.25839,             0.24583,             0.15403,            0.060512,            0.071754,            0.026063,            0.027377,            0.006931,            0.006931,            0.006931
                  64,            0.058634,              0.0383,           0.0043813,             0.37225,             0.25552,             0.17133,            0.052255,            0.072063,            0.027275,            0.028884,           0.0068815,           0.0068815,           0.0068815
                  65,            0.061671,            0.038894,            0.004502,             0.38287,             0.24562,             0.17583,            0.051391,            0.072654,            0.025631,             0.02308,            0.006832,            0.006832,            0.006832
                  66,            0.057523,            0.040478,           0.0052817,             0.21155,             0.26667,             0.12017,             0.04748,            0.070628,            0.026332,            0.025009,           0.0067825,           0.0067825,           0.0067825
                  67,              0.0563,            0.039419,           0.0042424,             0.23357,             0.22917,             0.14363,            0.062372,            0.072108,            0.026364,            0.027964,            0.006733,            0.006733,            0.006733
                  68,            0.056404,             0.04015,           0.0038663,             0.36884,             0.24532,             0.17039,            0.079418,            0.071321,            0.025584,            0.025852,           0.0066835,           0.0066835,           0.0066835
                  69,            0.056111,              0.0398,            0.003827,             0.26122,             0.23958,             0.14411,            0.067803,             0.07318,            0.025228,            0.022515,            0.006634,            0.006634,            0.006634
                  70,            0.055887,            0.037044,            0.003483,             0.30631,             0.23958,             0.13073,             0.04913,            0.073506,             0.02599,              0.0233,           0.0065845,           0.0065845,           0.0065845
                  71,            0.057552,            0.037156,            0.003587,             0.21614,             0.25208,             0.15411,            0.058859,            0.070629,            0.026036,            0.025323,            0.006535,            0.006535,            0.006535
                  72,            0.059228,            0.035984,           0.0040167,             0.32719,              0.2625,             0.16321,            0.059352,            0.073124,            0.026111,            0.022681,           0.0064855,           0.0064855,           0.0064855
                  73,             0.05599,            0.039944,           0.0039545,             0.23354,             0.22897,             0.12267,            0.042683,            0.072541,            0.027411,            0.023205,            0.006436,            0.006436,            0.006436
                  74,            0.052577,             0.03712,           0.0043263,              0.2377,             0.19583,             0.10287,             0.03096,            0.071804,            0.027375,            0.024348,           0.0063865,           0.0063865,           0.0063865
                  75,            0.054373,            0.037903,           0.0040772,             0.27973,              0.2353,             0.15159,            0.052779,            0.072726,            0.026565,             0.02514,            0.006337,            0.006337,            0.006337
                  76,            0.054129,            0.035999,           0.0034057,             0.30768,             0.24167,             0.15371,             0.03964,            0.071922,            0.027628,            0.024318,           0.0062875,           0.0062875,           0.0062875
                  77,            0.053071,            0.037903,           0.0036324,             0.25658,             0.22445,             0.14097,            0.039535,            0.073054,            0.027283,            0.022253,            0.006238,            0.006238,            0.006238
                  78,            0.052125,            0.037911,           0.0037799,             0.22206,             0.15833,            0.095777,            0.032522,             0.07252,            0.029095,            0.020686,           0.0061885,           0.0061885,           0.0061885
                  79,            0.053978,            0.037045,             0.00391,             0.28148,             0.21458,             0.10445,            0.033877,            0.071278,            0.028353,            0.025067,            0.006139,            0.006139,            0.006139
                  80,            0.053737,            0.036342,            0.004301,             0.23693,             0.22885,             0.11666,            0.033331,            0.076072,             0.02623,            0.027696,           0.0060895,           0.0060895,           0.0060895
                  81,            0.052614,             0.03868,           0.0040808,              0.2564,             0.27292,             0.13559,            0.039072,            0.070597,            0.027916,            0.029053,             0.00604,             0.00604,             0.00604
                  82,            0.050583,            0.035407,           0.0032986,             0.16124,             0.26667,               0.101,            0.034584,             0.07091,            0.027355,            0.026827,           0.0059905,           0.0059905,           0.0059905
                  83,             0.05188,             0.03542,            0.003629,             0.21249,             0.24583,             0.10176,            0.034852,            0.071756,            0.028123,            0.026703,            0.005941,            0.005941,            0.005941
                  84,            0.051259,            0.036135,           0.0038591,             0.17518,             0.28665,            0.098965,            0.033159,            0.072751,            0.028454,            0.027918,           0.0058915,           0.0058915,           0.0058915
                  85,             0.05015,            0.033205,           0.0041905,              0.2034,             0.26667,            0.095009,            0.030477,            0.072874,            0.028567,            0.027742,            0.005842,            0.005842,            0.005842
                  86,            0.050402,            0.037678,           0.0043909,             0.17725,             0.35589,             0.10624,            0.026662,            0.072676,            0.028744,            0.024955,           0.0057925,           0.0057925,           0.0057925
                  87,            0.049199,            0.035295,           0.0037656,             0.30834,             0.30208,             0.14096,            0.036198,            0.071888,             0.02783,            0.022993,            0.005743,            0.005743,            0.005743
                  88,            0.049487,            0.035488,           0.0036733,             0.30692,             0.28958,             0.16752,             0.07081,            0.072648,            0.026799,            0.024541,           0.0056935,           0.0056935,           0.0056935
                  89,            0.050635,            0.034307,           0.0032683,             0.23392,                 0.3,             0.13989,            0.050833,            0.070138,            0.028127,            0.025787,            0.005644,            0.005644,            0.005644
                  90,            0.052664,              0.0345,           0.0033738,             0.21531,             0.24583,              0.1135,             0.03337,            0.072289,            0.029401,            0.024753,           0.0055945,           0.0055945,           0.0055945
                  91,            0.049437,            0.032994,           0.0031218,             0.16616,             0.33934,             0.10419,            0.036525,            0.070739,            0.029064,            0.025087,            0.005545,            0.005545,            0.005545
                  92,            0.049653,             0.03737,            0.003204,             0.22666,             0.20183,             0.10289,            0.038226,            0.070837,            0.028646,            0.025575,           0.0054955,           0.0054955,           0.0054955
                  93,            0.049088,            0.035291,            0.003522,             0.22683,             0.16875,             0.12419,            0.069605,            0.073154,            0.027868,            0.026137,            0.005446,            0.005446,            0.005446
                  94,             0.05248,            0.034598,           0.0026315,             0.14516,              0.2937,             0.13436,            0.057348,             0.07053,            0.027405,            0.026509,           0.0053965,           0.0053965,           0.0053965
                  95,             0.05026,            0.032907,           0.0032039,             0.25903,             0.15625,             0.12354,            0.039395,            0.071483,            0.027434,             0.02617,            0.005347,            0.005347,            0.005347
                  96,             0.04967,            0.035645,           0.0028779,             0.19364,             0.17292,             0.12204,            0.030578,             0.07195,            0.027743,             0.02368,           0.0052975,           0.0052975,           0.0052975
                  97,            0.049435,            0.036691,           0.0028845,             0.14782,             0.23333,             0.12527,            0.032212,            0.071236,            0.028555,            0.023471,            0.005248,            0.005248,            0.005248
                  98,            0.048686,            0.032741,           0.0033101,             0.20736,             0.27694,             0.13122,            0.035873,            0.071173,            0.029799,            0.023321,           0.0051985,           0.0051985,           0.0051985
                  99,            0.047852,            0.034697,            0.002757,             0.21768,              0.2625,             0.11114,            0.034213,            0.071449,            0.030022,            0.022465,            0.005149,            0.005149,            0.005149
                 100,            0.049127,            0.032601,           0.0029764,             0.17246,             0.25584,             0.13145,            0.046938,            0.070307,            0.029732,            0.022134,           0.0050995,           0.0050995,           0.0050995
                 101,            0.048841,            0.034127,           0.0026689,             0.39326,             0.20062,             0.16524,            0.069311,            0.071478,            0.028596,             0.02391,             0.00505,             0.00505,             0.00505
                 102,            0.047021,            0.035187,           0.0031329,             0.24111,             0.15833,             0.13305,             0.04635,             0.07022,            0.029375,            0.025108,           0.0050005,           0.0050005,           0.0050005
                 103,             0.04615,            0.032384,           0.0026376,             0.19016,             0.24557,             0.10227,            0.030814,            0.071234,            0.030537,            0.027777,            0.004951,            0.004951,            0.004951
                 104,            0.045148,            0.032851,           0.0022519,             0.39139,               0.175,             0.11861,            0.040067,            0.070385,            0.030062,            0.027869,           0.0049015,           0.0049015,           0.0049015
                 105,            0.047513,            0.035454,           0.0030611,             0.24543,             0.26221,             0.12446,            0.034877,            0.071378,             0.02977,            0.027637,            0.004852,            0.004852,            0.004852
                 106,            0.047499,            0.032098,           0.0023161,             0.29243,             0.23542,              0.1232,            0.033009,            0.072316,            0.029909,            0.027025,           0.0048025,           0.0048025,           0.0048025
                 107,            0.045489,            0.034322,           0.0025402,              0.2613,               0.225,             0.13069,            0.042494,            0.071738,            0.029215,            0.026171,            0.004753,            0.004753,            0.004753
                 108,            0.046756,            0.031453,           0.0031382,             0.37087,             0.19792,             0.15781,            0.049192,            0.071671,            0.028839,            0.029525,           0.0047035,           0.0047035,           0.0047035
                 109,            0.045142,            0.032993,           0.0026867,             0.28414,             0.16458,             0.10997,            0.033334,            0.071498,            0.029854,            0.032559,            0.004654,            0.004654,            0.004654
                 110,            0.044805,            0.032952,           0.0027635,             0.25526,             0.18125,             0.11719,            0.040667,            0.071598,            0.030444,            0.031936,           0.0046045,           0.0046045,           0.0046045
                 111,            0.044999,            0.033119,           0.0026015,             0.30719,             0.16415,            0.095997,            0.033017,            0.073366,            0.030285,            0.029515,            0.004555,            0.004555,            0.004555
                 112,            0.044405,            0.031838,           0.0019754,             0.30378,             0.19792,             0.12593,            0.036538,             0.07306,            0.031251,            0.028892,           0.0045055,           0.0045055,           0.0045055
                 113,            0.043074,            0.031053,           0.0021088,             0.29408,             0.15833,            0.092404,            0.038437,            0.072689,            0.030956,            0.029052,            0.004456,            0.004456,            0.004456
                 114,            0.043617,            0.032559,           0.0023927,             0.27013,             0.16505,             0.11327,            0.039031,            0.071168,            0.031713,            0.027874,           0.0044065,           0.0044065,           0.0044065
                 115,            0.045805,             0.03264,           0.0020535,             0.28911,             0.17898,             0.11558,            0.038174,            0.071249,            0.031416,            0.028684,            0.004357,            0.004357,            0.004357
                 116,            0.043876,            0.029645,           0.0018714,              0.1608,             0.26609,            0.096523,             0.03427,            0.072387,            0.030434,             0.02798,           0.0043075,           0.0043075,           0.0043075
                 117,            0.045387,            0.030178,            0.002482,             0.24383,             0.22122,             0.11576,            0.031897,            0.073141,            0.029595,            0.028305,            0.004258,            0.004258,            0.004258
                 118,            0.043742,            0.031937,           0.0027652,             0.23661,             0.25536,             0.14254,             0.03254,            0.072206,            0.029783,             0.02938,           0.0042085,           0.0042085,           0.0042085
                 119,            0.042608,            0.029513,           0.0025355,             0.16382,             0.25525,            0.095727,            0.031111,            0.073918,            0.030949,            0.029203,            0.004159,            0.004159,            0.004159
                 120,            0.042903,            0.031508,           0.0023365,              0.2431,             0.22343,             0.12327,            0.038439,            0.073486,            0.029872,            0.030598,           0.0041095,           0.0041095,           0.0041095
                 121,            0.042726,             0.03021,           0.0020449,             0.19464,             0.22917,            0.092721,            0.037107,            0.074052,            0.029664,            0.033196,             0.00406,             0.00406,             0.00406
                 122,            0.043117,            0.033125,           0.0019319,             0.20965,             0.20029,            0.090728,             0.03127,            0.074114,            0.029967,             0.03285,           0.0040105,           0.0040105,           0.0040105
                 123,            0.042151,            0.032668,           0.0018456,             0.18158,             0.17917,            0.071645,            0.029739,            0.074605,            0.030413,            0.033534,            0.003961,            0.003961,            0.003961
                 124,            0.041978,            0.029148,           0.0021573,             0.12162,             0.19583,            0.071393,            0.030095,            0.075118,            0.030508,            0.033699,           0.0039115,           0.0039115,           0.0039115
                 125,             0.04349,            0.031089,           0.0030034,             0.17748,             0.19583,             0.10192,            0.038106,            0.073656,            0.029704,            0.033572,            0.003862,            0.003862,            0.003862
                 126,            0.042792,            0.029574,           0.0026685,             0.13453,              0.1625,            0.073687,            0.031041,            0.074185,            0.030308,            0.031886,           0.0038125,           0.0038125,           0.0038125
                 127,             0.04556,            0.030998,           0.0019491,              0.1887,             0.22917,             0.08913,            0.031117,            0.073035,            0.030113,             0.03112,            0.003763,            0.003763,            0.003763
                 128,            0.041249,            0.031271,           0.0026224,             0.20159,             0.23901,             0.10954,             0.03993,            0.073406,            0.029805,            0.030326,           0.0037135,           0.0037135,           0.0037135
                 129,             0.04143,            0.030969,           0.0027301,             0.17491,             0.20625,             0.10864,            0.042194,             0.07284,            0.030227,            0.027664,            0.003664,            0.003664,            0.003664
                 130,            0.042064,            0.031158,           0.0019029,             0.36374,             0.19583,              0.1146,            0.039229,            0.072994,            0.030535,            0.025486,           0.0036145,           0.0036145,           0.0036145
                 131,             0.04232,            0.030065,           0.0024944,             0.25752,             0.18958,            0.093583,            0.033161,            0.072573,            0.030584,            0.024331,            0.003565,            0.003565,            0.003565
                 132,            0.040914,            0.032028,           0.0017323,             0.24802,              0.1625,             0.10747,            0.040669,            0.072859,            0.029984,            0.023039,           0.0035155,           0.0035155,           0.0035155
                 133,            0.041252,            0.030435,           0.0024571,             0.16676,             0.24583,             0.10045,            0.036504,            0.072351,            0.031337,            0.022219,            0.003466,            0.003466,            0.003466
                 134,             0.04155,            0.031274,           0.0021925,             0.17442,             0.32292,             0.11929,            0.037112,            0.073516,            0.030564,            0.022407,           0.0034165,           0.0034165,           0.0034165
                 135,            0.040896,            0.030339,           0.0019929,              0.2474,             0.20208,             0.11179,             0.03903,            0.073146,            0.030072,            0.022549,            0.003367,            0.003367,            0.003367
                 136,            0.040175,            0.028173,           0.0021866,               0.235,             0.18532,             0.10744,            0.036535,            0.073658,            0.030577,             0.02163,           0.0033175,           0.0033175,           0.0033175
                 137,            0.040098,            0.029253,           0.0028554,             0.34121,               0.175,              0.1295,            0.039722,            0.073267,            0.029527,            0.021728,            0.003268,            0.003268,            0.003268
                 138,            0.039014,            0.029195,           0.0019206,             0.32591,             0.16458,             0.11723,             0.04225,            0.073065,            0.029306,            0.022371,           0.0032185,           0.0032185,           0.0032185
                 139,             0.03908,            0.028203,            0.002234,             0.25103,             0.18532,             0.12516,            0.045746,            0.073761,            0.029538,            0.025106,            0.003169,            0.003169,            0.003169
                 140,            0.039531,            0.028868,           0.0020664,             0.18969,             0.18542,             0.08787,            0.033612,            0.074057,            0.030231,            0.026131,           0.0031195,           0.0031195,           0.0031195
                 141,            0.040689,            0.029954,           0.0015367,              0.1233,             0.28161,            0.065319,            0.024273,            0.073046,            0.031759,            0.026852,             0.00307,             0.00307,             0.00307
                 142,            0.037446,            0.029538,            0.001679,             0.23138,             0.24583,             0.10569,            0.037737,            0.072626,            0.030802,            0.026747,           0.0030205,           0.0030205,           0.0030205
                 143,            0.038377,            0.029734,           0.0024387,             0.20651,             0.23542,            0.084673,            0.030135,            0.072773,            0.032276,            0.026323,            0.002971,            0.002971,            0.002971
                 144,            0.038156,            0.029749,           0.0019916,             0.16775,             0.23528,            0.092274,            0.032608,            0.073279,            0.032154,            0.027291,           0.0029215,           0.0029215,           0.0029215
                 145,             0.03907,            0.029834,           0.0018994,             0.19237,             0.21875,             0.09444,            0.030452,            0.073489,            0.031243,            0.029147,            0.002872,            0.002872,            0.002872
                 146,            0.038934,            0.029263,           0.0019408,             0.18919,             0.23958,             0.10073,            0.033781,            0.073311,            0.031366,            0.029366,           0.0028225,           0.0028225,           0.0028225
                 147,            0.036931,            0.027786,           0.0018462,              0.2703,             0.22912,             0.11383,            0.042765,            0.072804,            0.031301,              0.0298,            0.002773,            0.002773,            0.002773
                 148,             0.03772,            0.029404,           0.0022404,             0.19347,             0.26667,             0.10886,            0.033997,            0.073874,            0.031412,            0.029701,           0.0027235,           0.0027235,           0.0027235
                 149,            0.038946,            0.029301,           0.0018878,             0.13835,             0.32708,            0.093583,            0.031487,            0.074564,            0.032491,             0.02889,            0.002674,            0.002674,            0.002674
                 150,            0.038748,            0.027159,           0.0021488,              0.2241,             0.15202,            0.084362,            0.029671,            0.073633,            0.032658,             0.02839,           0.0026245,           0.0026245,           0.0026245
                 151,            0.038214,            0.029421,           0.0018402,             0.25169,             0.21875,            0.099065,            0.030222,            0.073934,            0.031668,            0.027535,            0.002575,            0.002575,            0.002575
                 152,            0.036893,            0.027509,           0.0023173,             0.28545,             0.21875,             0.11184,            0.036043,            0.074792,            0.031619,            0.027007,           0.0025255,           0.0025255,           0.0025255
                 153,            0.036949,            0.028869,           0.0016065,             0.26838,             0.17493,             0.10894,            0.034272,            0.074978,            0.032318,            0.027155,            0.002476,            0.002476,            0.002476
                 154,            0.036155,            0.028144,           0.0019475,             0.25342,             0.15833,            0.093838,            0.034547,            0.075001,            0.032705,            0.027286,           0.0024265,           0.0024265,           0.0024265
                 155,            0.036429,            0.026965,           0.0015198,             0.25744,             0.14167,             0.10435,            0.037021,            0.074591,            0.032671,            0.027239,            0.002377,            0.002377,            0.002377
                 156,            0.036368,            0.026404,           0.0021276,             0.31175,             0.15208,             0.11983,            0.038734,             0.07471,            0.032065,            0.027599,           0.0023275,           0.0023275,           0.0023275
                 157,            0.036893,            0.029174,           0.0018013,             0.22205,             0.22248,             0.10948,            0.036977,            0.074186,            0.031419,            0.027711,            0.002278,            0.002278,            0.002278
                 158,            0.037553,            0.028564,           0.0015827,             0.22932,             0.22292,            0.099784,            0.039159,            0.074249,            0.031922,            0.028172,           0.0022285,           0.0022285,           0.0022285
                 159,            0.037509,            0.028458,           0.0015198,             0.19991,             0.23862,             0.11023,            0.042068,            0.074059,            0.031873,            0.028612,            0.002179,            0.002179,            0.002179
                 160,            0.035894,            0.029383,           0.0014042,             0.18907,             0.29258,             0.11352,            0.043282,            0.072921,            0.032207,            0.027102,           0.0021295,           0.0021295,           0.0021295
                 161,            0.036338,            0.027081,           0.0018425,             0.31591,               0.225,             0.13343,            0.048865,            0.072602,             0.03268,            0.027037,             0.00208,             0.00208,             0.00208
                 162,            0.036045,            0.028871,           0.0019974,             0.33637,             0.23542,             0.14686,            0.047981,            0.073216,            0.032694,            0.027742,           0.0020305,           0.0020305,           0.0020305
